airline	source	all_detected_brands	identified_basic_economy_brand	min_price_inc	avg_price_inc	median_price_inc
9B	JetBlue	economy	economy	220.99	233.99	223.24
9K	Capeair	value	value	199.0	337.70	359.0
9K	GDS	value	value	604.8	729.28	773.9
9X	GDS	freedom,friendly,frugal	frugal	59.0	187.13	184.01
AA	AA Points	business,coach,first	coach	5000.0	28236.51	21500.0
AA	Alaska	first,main	main	149.0	496.21	377.0
AA	Alaska Airlines	first,main,partner_business,refundable_first,refundable_main,refundable_partner_business	main	145.48	978.35	808.27
AA	American Airlines	basic economy,first,first flexible,flagship business,flagship first,main cabin,main cabin flexible,main plus,null	basic economy	45.49	325.95	283.18
AA	Booking	economy	economy	227.01	250.13	265.69
AA	Expedia	basic economy,economy	basic economy	48.49	282.02	267.48
AA	GDS	business,business flexible,first,first flexible,flagship business,flagship business flexible,flagship first,flagship first flexible,main cabin,main cabin flexible,premium economy,premium economy flexible,unknown	main cabin	75.48	509.45	452.66
AA	Google Flights	economy,economy - economy	economy	46.0	961.70	882.0
AA	NDC	basic economy,first,first flexible,flagship first flexible,main cabin,main cabin flexible,main plus,main select,premium economy,premium economy flexible	basic economy	45.49	390.34	343.18
AA	SkyScanner	basic economy,economy	basic economy	48.49	285.46	274.48
AS	AA Points	business,coach,first	coach	10000.0	38460.57	35000.0
AS	Alaska	first,main,premium,saver	saver	59.0	319.07	269.0
AS	Alaska Airlines	first,main,premium,refundable_first,refundable_main,refundable_premium,saver	saver	38.31	657.13	468.57
AS	Expedia	basic economy,economy	basic economy	58.3	223.17	206.05
AS	GDS	first,ha partner basic,ha partner business,ha partner main,ha partner refundable business,ha partner refundable main,main,partner business,partner main,partner refundable business,partner refundable first,refundable first,refundable main,saver,unknown	ha partner basic	38.31	825.34	371.17
AS	Google Flights	economy,economy - economy	economy	89.0	1218.56	814.0
AS	SkyScanner	economy	economy	32.45	283.07	201.0
AS	United Airlines	coach,economy,first	economy	547.69	761.27	608.79
B6	Expedia	basic economy,economy	basic economy	63.48	300.28	263.49
B6	GDS	blue,blue basic,blue extra,blue ref,mint,mint ref,unknown	blue basic	58.48	366.00	298.19
B6	JetBlue	blue,blue basic,blue extra,blue extra refundable,blue refundable,mint,mint refundable	blue basic	58.48	367.92	233.48
BW	GDS	business,business flex,classic,lite	lite	343.21	541.69	509.71
DL	Delta Points	main,main basic,main classic	main basic	3000.0	54173.73	46300.0
DL	Delta via SkyScanner	basic economy,economy	basic economy	58.48	287.09	258.49
DL	Expedia	basic economy,economy	basic economy	58.48	286.19	258.49
DL	GDS	delta comfort,delta comfort classic,delta comfort extra,delta comfort refundable,delta first,delta first classic,delta first extra,delta first refundable,delta main,delta main basic,delta main classic,delta main extra,delta main refundable,delta one,delta one classic,delta one extra,delta one refundable,delta premium select,delta premium select classic,delta premium select extra,dl premium select refundable	delta main basic	45.49	437.27	378.18
DL	Google Flights	economy,economy - economy,economy - economy - economy	economy - economy - economy	46.0	984.81	893.0
DL	SkyScanner	basic economy,economy	basic economy	58.48	287.17	258.49
F9	Booking	economy	economy	115.22	148.06	157.14
F9	Expedia	economy	economy	33.98	116.13	103.99
F9	Flyfrontier	standard	standard	15.98	85.41	73.98
F9	Frontier	discount,discount_business,discount_economy,discount_premium,standard,standard_business,standard_economy,standard_premium	discount	15.38	140.31	128.76
F9	GDS	economy,standard	standard	23.98	177.18	162.36
F9	SkyScanner	economy	economy	26.97	131.54	110.98
G4	Allegiant	basic,bonus,standard,total	standard	36.5	180.09	174.0
HA	AA Points	coach,first	coach	22500.0	34629.77	30000.0
HA	Expedia	basic economy,economy	economy	48.8	245.47	189.0
HA	GDS	first class,first class cabin,main cabin,main cabin basic,main cabin refundable,unknown	first class	38.31	387.82	338.0
HA	Hawaiian	main cabin,main cabin basic	main cabin	48.8	132.03	94.8
KG	GDS	flexible,non-refundable,unknown	non-refundable	142.4	415.67	382.41
KG	United Airlines	coach,economy,economy-unrestricted	economy	142.4	383.06	382.41
KX	GDS	economy flexible,economy low	economy low	386.26	971.64	1075.62
LF	GDS	flexible,standard,unknown	unknown	94.4	218.12	184.39
NK	Booking	economy	economy	100.99	100.99	100.99
NK	GDS	unknown	unknown	32.99	143.83	121.69
NK	Spirit	premium economy,spirit first,value	value	25.0	172.03	156.0
PD	JetBlue	economy	economy	615.19	671.47	665.16
SY	GDS	unknown	unknown	51.99	230.05	208.38
UA	Booking	economy	economy	227.02	262.33	265.72
UA	Expedia	basic economy,economy	basic economy	28.48	214.93	187.48
UA	GDS	economy,economy fully refundable,economy plus,economy plus fully refundable,first or business,first or business fully ref,premium econ fully refundable,premium economy,unknown	economy	58.48	459.34	418.18
UA	Google Flights	economy,economy - economy,economy - economy - economy	economy - economy - economy	29.0	888.87	760.0
UA	SkyScanner	basic economy,economy	basic economy	28.48	214.89	187.48
UA	United Airlines	business,coach,eco-basic,eco-premium,economy,economy-unrestricted,first,premiumplus	eco-basic	28.48	518.72	358.19
UA	United Points	economy	economy	5900.0	35612.80	40000.0
UA	United via SkyScanner	basic economy,economy	basic economy	28.48	451.04	399.46
UP	GDS	unknown	unknown	321.51	368.50	365.51
VC	Alaska Airlines	main,refundable_main	main	278.99	397.01	459.0
WN	Southwest	any,anytime,basic,bus,business select,plu,wanna get away plus,wga	basic	28.3	250.99	238.18
XE	JetBlue	economy	economy	209.01	512.27	559.0
XE	United Airlines	economy,economy-unrestricted	economy	209.01	360.08	419.0
XP	Avelo Airlines	economy	economy	29.0	64.68	59.0
XP	Priceline	base fare	base fare	79.51	107.52	102.72
